"Id","Category","Name","Address","Tel","Lat","Long","subcategory","note","Opening","Closing","Creator","Created","Valid","Version","Source"
"erbo0001","Erboristeria","Erboristeria Natsabe' Sas","Via Andrea Costa, 121/12, 40134 Bologna BO, Italy","051 614 3806","44.4953543","11.3180517","2013-23-02","","Mon, Tue, Fri, Sat: 0830-1300,1530-1930. Tue:0830-1300. Wed:0900-1300,1530-1930.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0002","Erboristeria","Erboristeria Montanari","Via Marsala, 23, 40126 Bologna BO, Italy","051 237468","44.4971968","11.345987","privata","","Mon, Tue, Wed, Fri, Sat: 0830-1330, 1600-1900. Thu:0830-1200,1500-1830.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0003","Erboristeria","Erboristeria Del Borgo","Via Francesco Rizzoli, 40, 40125 Bologna BO, Italy"," 051 223619","44.4943552","11.34624380","privata","","Tue, Wed, Thu, Fri: 0900-1300, 1530-1900.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0004","Erboristeria","Erboristeria Della Stazione Snc Di Grassigli P.","Piazza delle Medaglie d'Oro, 2, 40121 Bologna BO, Italy","051 253280","44.5052084","11.34389469","privata","","Mon, Wed, Fri:0800-1400.Tue,Thu,Sat:1330-1930.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0005","Erboristeria","Virya Ayurveda Italiana","Via Galliera, 60, 40121 Bologna BO, Italy","051 240986","44.501783","11.3435673","privata","","Mon, Tue, Wed, Thu, Fri: 0830-1230,1530-1900.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0006","Erboristeria","L' Erbolario","Via degli Orefici, 4, 40124 Bologna BO, Italy","051 656 9961","44.4940639","11.344304700","privata","","Mon, Tue, Wed, Thu, Fri: 0730-1200,1600-1900.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0007","Erboristeria","Alkymia S.R.L.","Via Ugo Bassi, 31, 40121 Bologna BO, Italy","051 648 6799","44.49583310 ","11.33751549","statale","(Direzione Didattica XI Circolo)","Mon, Tue, Wed, Thu, Fri: 0730-1330,1500-1800.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0008","Erboristeria","Bottega Verde Srl","Via Ugo Bassi, 10, 40121 Bologna BO, Italy","051 296 0599","44.495418699","11.33877729","privata","","Mon, Tue, Wed, Thu, Fri: 0730-1200,1600-1830.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0009","Erboristeria","Erboristeria Harpax Di Iridea (S.R.L.)","Via Mascarella, 60, 40126 Bologna BO, Italy","051 240503","44.4999928","11.350626700","privata","","Mon, Wed, Thu, Fri, Sat: 0800-1330,1600-1830.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0010","Erboristeria","Dietasana","Via Luigi Carlo Farini, 21, 40124 Bologna BO, Italy","051 236039","44.4915252","11.34708290","privata","","Mon, Tue, Wed, Thu, Fri: 0730-1230, 1500-1800.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0011","Erboristeria","pietralata63 erboristerie","Via Pietralata, 63, 40122 Bologna BO, Italy","051 621 7211","44.4958436","11.33107219","privata","","Mon, Tue, Wed, Thu, Fri: 0730-1400,1600-1900.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0012","Erboristeria","Le Erbe Di Nerone S.R.L.","Via Emilia Ponente, 99, 40133 Bologna BO, Italy","051 312963","44.5060165","11.30840469","privata","","Mon, Tue, Wed, Thu, Fri: 0730-1530.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0013","Erboristeria","Erboristeria Virya 2 Ingrosso Sas","Via Aurelio Saffi, 10, 40131 Bologna BO, Italy","051 587 7512 ","44.499833","11.32519170","privata","","Tue, Wed, Thu, Fri: 0900-1300, 1530-1900.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0014","Erboristeria","Erboristeria Biancospino Di Laura Martelli","Via Giuseppe Massarenti, 424, 40138 Bologna BO, Italy","051 605 1380","44.4933065","11.384741399","privata","","Mon, Tue, Fri, Sat: 0830-1300,1530-1930. Tue:0830-1300. Wed:0900-1300,1530-1930.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0015","Erboristeria","Iridea S.r.l.","Via Irnerio, 24, 40126 Bologna BO, Italy","051 550711","44.4996845","11.35091439","privata","","Mon, Tue, Fri, Sat: 0830-1300,1530-1930. Tue:0830-1300. Wed:0900-1300,1530-1930.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0016","Erboristeria","Erboristeria L'Erica S.R.L.","Via San Felice, 105, 40122 Bologna BO, Italy","051 528 2380","44.497781","11.3313895","privata","","Mon, Tue, Wed, Thu, Fri: 0830-1630.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0017","Erboristeria","L'Araba Fenice Ecologica","Via Andrea Costa, 31, 40134 Bologna BO, Italy","051 614 3914","44.4949912","11.32681189","privata","","Mon, Tue, Wed, Thu, Fri: 0900-1330,1530-1900.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0018","Erboristeria","L'Agrifoglio Erboristeria Di Tudisco Angelina","Via San Felice, 118, 40122 Bologna BO, Italy","051 550625","44.4978013","11.3312406","privata","","Mon, Tue, Wed, Thu, Fri: 0830-1230,1430-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
"erbo0019","Erboristeria","Barbalbero Aromatario","Via Broccaindosso, 16, 40125 Bologna BO, Italy","051 227429","44.4920054","11.35474550","privata","","Tue, Wed, Thu, Fri: 0830-1530.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","LTW-011-MoTechOnsu","2012-02-09","2013-23-02","1.1","Unknown"
